provinsi,hotspot,frp_mean,frp_max
Central Kalimantan,21774,11.771032423991917,1204.23
Papua,9839,12.300794796219128,1849.76
West Kalimantan,8491,10.615852078671534,370.0
South Sumatra,7202,12.47,526.21
East Kalimantan,4050,11.58895061728395,371.03
South Kalimantan,3587,10.901968218567047,309.55
Maluku,3327,7.717814848211603,157.13
West Papua,1854,9.928425026968716,477.96
Central Sulawesi,1755,10.18646153846154,236.33
South Sulawesi,1381,9.911506154960174,216.8
East Nusa Tenggara,1366,8.840270863836016,152.33
North Maluku,1274,8.536789638932497,175.96
Jambi,1043,12.646711409395973,397.99
Bangka-Belitung Islands,986,8.31399594320487,97.07
East Java,936,10.181538461538462,731.93
Southeast Sulawesi,915,9.833092896174865,170.14
West Nusa Tenggara,846,8.921749408983452,216.51
Lampung,828,14.699975845410627,497.25
North Sulawesi,621,6.332254428341384,106.85
Riau,489,13.987668711656442,318.26
Gorontalo,281,7.628540925266903,128.3
North Kalimantan,261,13.447701149425287,155.26
West Java,235,5.228340425531915,116.39
Central Java,220,5.591545454545455,57.96
West Sulawesi,154,10.091233766233765,98.1
Riau Islands,117,10.365470085470085,60.26
Banten,109,4.660275229357798,29.88
Bengkulu,101,9.301782178217822,78.75
West Sumatra,78,7.585128205128205,66.8
North Sumatra,35,9.333428571428572,52.58
Aceh,20,7.0760000000000005,26.2
Bali,15,5.271333333333333,8.93
Special Region of Yogyakarta,13,2.8592307692307695,7.63
Jakarta Special Capital Region,1,3.88,3.88
