provinsi,2026-09-08,2026-09-09,2026-09-10,2026-09-11,2026-09-12,2026-09-13,2026-09-14,2026-09-15
Aceh,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Bali,0.0,0.0,0.0,1.0,2.0,8.0,2.0,2.0
Bangka-Belitung Islands,64.0,159.0,101.0,85.0,79.0,105.0,203.0,190.0
Banten,14.0,8.0,16.0,9.0,1.0,1.0,19.0,41.0
Bengkulu,5.0,8.0,1.0,0.0,13.0,13.0,21.0,40.0
Central Java,18.0,10.0,21.0,45.0,36.0,27.0,36.0,27.0
Central Kalimantan,1892.0,1342.0,1294.0,5833.0,1366.0,2743.0,5910.0,1394.0
Central Sulawesi,158.0,108.0,193.0,127.0,136.0,417.0,299.0,317.0
East Java,69.0,42.0,70.0,132.0,200.0,213.0,168.0,42.0
East Kalimantan,422.0,169.0,339.0,363.0,638.0,885.0,698.0,536.0
East Nusa Tenggara,104.0,49.0,83.0,143.0,235.0,302.0,311.0,139.0
Gorontalo,36.0,40.0,25.0,27.0,14.0,41.0,33.0,65.0
Jakarta Special Capital Region,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jambi,120.0,116.0,19.0,15.0,53.0,149.0,114.0,457.0
Lampung,58.0,70.0,48.0,47.0,56.0,34.0,321.0,194.0
Maluku,277.0,371.0,220.0,382.0,655.0,571.0,514.0,337.0
North Kalimantan,36.0,5.0,23.0,0.0,10.0,16.0,120.0,51.0
North Maluku,64.0,101.0,78.0,47.0,110.0,146.0,277.0,451.0
North Sulawesi,56.0,60.0,55.0,76.0,68.0,56.0,144.0,106.0
North Sumatra,7.0,3.0,4.0,0.0,5.0,1.0,8.0,7.0
Papua,703.0,774.0,2320.0,3523.0,1016.0,751.0,290.0,462.0
Riau,121.0,179.0,40.0,12.0,19.0,29.0,45.0,44.0
Riau Islands,46.0,31.0,5.0,15.0,3.0,10.0,7.0,0.0
South Kalimantan,142.0,85.0,141.0,808.0,427.0,678.0,932.0,374.0
South Sulawesi,143.0,84.0,97.0,115.0,145.0,342.0,276.0,179.0
South Sumatra,661.0,809.0,317.0,280.0,621.0,843.0,1941.0,1730.0
Southeast Sulawesi,146.0,81.0,54.0,74.0,79.0,225.0,133.0,123.0
Special Region of Yogyakarta,0.0,3.0,0.0,4.0,4.0,2.0,0.0,0.0
West Java,27.0,21.0,23.0,43.0,8.0,11.0,50.0,52.0
West Kalimantan,688.0,826.0,934.0,1910.0,320.0,1703.0,1892.0,218.0
West Nusa Tenggara,80.0,41.0,40.0,63.0,221.0,183.0,152.0,66.0
West Papua,21.0,34.0,125.0,130.0,179.0,932.0,210.0,223.0
West Sulawesi,10.0,9.0,16.0,17.0,22.0,34.0,26.0,20.0
West Sumatra,24.0,18.0,0.0,1.0,1.0,4.0,12.0,18.0
