provinsi,tanggal,hotspot
Central Kalimantan,2026-09-05,2858
Central Kalimantan,2026-09-06,2252
Central Kalimantan,2026-09-07,531
Central Kalimantan,2026-09-08,1892
Central Kalimantan,2026-09-09,1342
Central Kalimantan,2026-09-10,1294
Central Kalimantan,2026-09-11,5833
Central Kalimantan,2026-09-12,1366
East Kalimantan,2026-09-05,473
East Kalimantan,2026-09-06,401
East Kalimantan,2026-09-07,346
East Kalimantan,2026-09-08,422
East Kalimantan,2026-09-09,169
East Kalimantan,2026-09-10,339
East Kalimantan,2026-09-11,363
East Kalimantan,2026-09-12,638
West Kalimantan,2026-09-05,1338
West Kalimantan,2026-09-06,1117
West Kalimantan,2026-09-07,410
West Kalimantan,2026-09-08,688
West Kalimantan,2026-09-09,826
West Kalimantan,2026-09-10,934
West Kalimantan,2026-09-11,1910
West Kalimantan,2026-09-12,320
