time_utc,city,provinsi,pm25,pm10,us_aqi
2026-09-07 00:00:00,Pontianak,Kalimantan Barat,47.3,50.1,130.1
2026-09-07 01:00:00,Pontianak,Kalimantan Barat,46.8,49.7,128.8
2026-09-07 02:00:00,Pontianak,Kalimantan Barat,48.0,50.9,131.8
2026-09-07 03:00:00,Pontianak,Kalimantan Barat,54.6,57.9,148.0
2026-09-07 04:00:00,Pontianak,Kalimantan Barat,74.5,78.2,164.3
2026-09-07 05:00:00,Pontianak,Kalimantan Barat,94.1,98.3,178.1
2026-09-07 06:00:00,Pontianak,Kalimantan Barat,123.4,128.1,198.6
2026-09-07 07:00:00,Pontianak,Kalimantan Barat,159.7,164.4,234.9
2026-09-07 08:00:00,Pontianak,Kalimantan Barat,193.7,198.8,268.6
2026-09-07 09:00:00,Pontianak,Kalimantan Barat,192.8,197.9,267.7
2026-09-07 10:00:00,Pontianak,Kalimantan Barat,192.8,197.0,267.7
2026-09-07 11:00:00,Pontianak,Kalimantan Barat,199.8,203.5,274.6
2026-09-07 12:00:00,Pontianak,Kalimantan Barat,208.6,214.7,283.4
2026-09-07 13:00:00,Pontianak,Kalimantan Barat,166.2,171.8,241.3
2026-09-07 14:00:00,Pontianak,Kalimantan Barat,139.7,144.8,215.1
2026-09-07 15:00:00,Pontianak,Kalimantan Barat,129.5,133.6,205.0
2026-09-07 16:00:00,Pontianak,Kalimantan Barat,136.4,139.7,211.8
2026-09-07 17:00:00,Pontianak,Kalimantan Barat,140.6,143.9,216.0
2026-09-07 18:00:00,Pontianak,Kalimantan Barat,143.9,147.1,219.2
2026-09-07 19:00:00,Pontianak,Kalimantan Barat,130.4,134.1,205.9
2026-09-07 20:00:00,Pontianak,Kalimantan Barat,115.9,119.7,193.3
2026-09-07 21:00:00,Pontianak,Kalimantan Barat,131.8,136.0,207.2
2026-09-07 22:00:00,Pontianak,Kalimantan Barat,142.5,147.1,217.8
2026-09-07 23:00:00,Pontianak,Kalimantan Barat,151.3,156.0,226.6
2026-09-08 00:00:00,Pontianak,Kalimantan Barat,190.5,195.6,265.4
2026-09-08 01:00:00,Pontianak,Kalimantan Barat,183.5,188.1,258.5
2026-09-08 02:00:00,Pontianak,Kalimantan Barat,164.8,169.0,239.9
2026-09-08 03:00:00,Pontianak,Kalimantan Barat,143.4,147.1,218.7
2026-09-08 04:00:00,Pontianak,Kalimantan Barat,135.5,138.8,210.9
2026-09-08 05:00:00,Pontianak,Kalimantan Barat,141.1,144.4,216.5
2026-09-08 06:00:00,Pontianak,Kalimantan Barat,156.0,159.3,231.2
2026-09-08 07:00:00,Pontianak,Kalimantan Barat,177.0,180.7,252.0
2026-09-08 08:00:00,Pontianak,Kalimantan Barat,200.7,204.4,275.5
2026-09-08 09:00:00,Pontianak,Kalimantan Barat,209.1,213.3,283.8
2026-09-08 10:00:00,Pontianak,Kalimantan Barat,163.4,166.7,238.6
2026-09-08 11:00:00,Pontianak,Kalimantan Barat,155.1,157.9,230.3
2026-09-08 12:00:00,Pontianak,Kalimantan Barat,112.5,117.8,191.0
2026-09-08 13:00:00,Pontianak,Kalimantan Barat,75.4,80.6,164.9
2026-09-08 14:00:00,Pontianak,Kalimantan Barat,52.9,57.5,143.8
2026-09-08 15:00:00,Pontianak,Kalimantan Barat,43.5,48.3,120.7
2026-09-08 16:00:00,Pontianak,Kalimantan Barat,47.0,51.7,129.3
2026-09-08 17:00:00,Pontianak,Kalimantan Barat,55.3,59.6,149.8
2026-09-08 18:00:00,Pontianak,Kalimantan Barat,65.0,68.7,157.7
2026-09-08 19:00:00,Pontianak,Kalimantan Barat,77.5,81.0,166.4
2026-09-08 20:00:00,Pontianak,Kalimantan Barat,94.1,97.3,178.1
2026-09-08 21:00:00,Pontianak,Kalimantan Barat,110.4,113.6,189.5
2026-09-08 22:00:00,Pontianak,Kalimantan Barat,122.0,125.7,197.6
2026-09-08 23:00:00,Pontianak,Kalimantan Barat,132.2,136.0,207.6
2026-09-09 00:00:00,Pontianak,Kalimantan Barat,104.8,109.0,185.6
2026-09-09 01:00:00,Pontianak,Kalimantan Barat,108.3,112.7,188.0
2026-09-09 02:00:00,Pontianak,Kalimantan Barat,101.5,106.4,183.2
2026-09-09 03:00:00,Pontianak,Kalimantan Barat,99.4,104.5,181.8
2026-09-09 04:00:00,Pontianak,Kalimantan Barat,101.5,106.6,183.2
2026-09-09 05:00:00,Pontianak,Kalimantan Barat,105.0,110.4,185.7
2026-09-09 06:00:00,Pontianak,Kalimantan Barat,102.4,107.8,183.9
2026-09-09 07:00:00,Pontianak,Kalimantan Barat,96.4,101.7,179.7
2026-09-09 08:00:00,Pontianak,Kalimantan Barat,84.8,90.1,171.5
2026-09-09 09:00:00,Pontianak,Kalimantan Barat,66.8,71.9,158.9
2026-09-09 10:00:00,Pontianak,Kalimantan Barat,46.1,51.2,127.1
2026-09-09 11:00:00,Pontianak,Kalimantan Barat,33.2,37.8,95.9
2026-09-09 12:00:00,Pontianak,Kalimantan Barat,36.1,40.9,102.5
2026-09-09 13:00:00,Pontianak,Kalimantan Barat,34.0,38.6,97.4
2026-09-09 14:00:00,Pontianak,Kalimantan Barat,41.8,45.9,116.5
2026-09-09 15:00:00,Pontianak,Kalimantan Barat,48.2,52.0,132.3
2026-09-09 16:00:00,Pontianak,Kalimantan Barat,53.9,57.9,146.3
2026-09-09 17:00:00,Pontianak,Kalimantan Barat,57.6,61.9,152.5
