latitude,longitude,acq_date,satellite,confidence,frp,daynight,sensor,provinsi,frp_band,pulau,acq_datetime
2.60162,117.68951,2026-09-08,T,68,15.02,D,modis,North Kalimantan,Rendah,Kalimantan,2026-09-08 00:54:00
2.19537,116.97828,2026-09-08,T,77,13.84,D,modis,East Kalimantan,Rendah,Kalimantan,2026-09-08 00:54:00
2.04772,117.17649,2026-09-08,T,93,46.18,D,modis,East Kalimantan,Sedang,Kalimantan,2026-09-08 00:54:00
2.26187,117.99717,2026-09-08,T,59,6.84,D,modis,East Kalimantan,Rendah,Kalimantan,2026-09-08 00:54:00
-3.06648,114.04279,2026-09-08,T,100,124.4,D,modis,Central Kalimantan,Tinggi,Kalimantan,2026-09-08 00:56:00
-3.05876,114.05329,2026-09-08,T,60,17.25,D,modis,Central Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-3.05743,114.04404,2026-09-08,T,86,29.14,D,modis,Central Kalimantan,Sedang,Kalimantan,2026-09-08 00:56:00
-2.95037,113.29774,2026-09-08,T,55,5.61,D,modis,Central Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-2.62919,111.21647,2026-09-08,T,55,9.39,D,modis,Central Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-2.62721,111.20288,2026-09-08,T,82,40.01,D,modis,Central Kalimantan,Sedang,Kalimantan,2026-09-08 00:56:00
-3.00065,113.84263,2026-09-08,T,28,4.88,D,modis,Central Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-2.70563,111.88575,2026-09-08,T,78,25.81,D,modis,Central Kalimantan,Sedang,Kalimantan,2026-09-08 00:56:00
-2.70385,111.87362,2026-09-08,T,70,16.02,D,modis,Central Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-2.97193,113.83703,2026-09-08,T,83,25.11,D,modis,Central Kalimantan,Sedang,Kalimantan,2026-09-08 00:56:00
-3.0678,114.05203,2026-09-08,T,90,33.86,D,modis,Central Kalimantan,Sedang,Kalimantan,2026-09-08 00:56:00
-2.97056,113.82761,2026-09-08,T,44,5.71,D,modis,Central Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-2.93417,113.76201,2026-09-08,T,57,5.76,D,modis,Central Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-4.02858,122.28876,2026-09-08,T,49,16.64,D,modis,Southeast Sulawesi,Rendah,Sulawesi,2026-09-08 00:56:00
-3.08163,115.29609,2026-09-08,T,60,5.8,D,modis,South Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-3.08038,115.28732,2026-09-08,T,70,9.61,D,modis,South Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-2.84592,113.79005,2026-09-08,T,61,6.76,D,modis,Central Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-4.03125,122.27115,2026-09-08,T,66,24.27,D,modis,Southeast Sulawesi,Sedang,Sulawesi,2026-09-08 00:56:00
-3.0336,115.16568,2026-09-08,T,37,5.8,D,modis,South Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-2.97331,113.84644,2026-09-08,T,61,7.35,D,modis,Central Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-3.10454,114.05022,2026-09-08,T,97,62.59,D,modis,Central Kalimantan,Sedang,Kalimantan,2026-09-08 00:56:00
-3.11224,114.03972,2026-09-08,T,93,49.69,D,modis,Central Kalimantan,Sedang,Kalimantan,2026-09-08 00:56:00
-3.03234,115.15691,2026-09-08,T,64,9.0,D,modis,South Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-3.63766,114.67219,2026-09-08,T,74,9.52,D,modis,South Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-3.20235,111.84563,2026-09-08,T,82,34.39,D,modis,Central Kalimantan,Sedang,Kalimantan,2026-09-08 00:56:00
-3.51304,115.1668,2026-09-08,T,56,4.54,D,modis,South Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-3.16278,112.91834,2026-09-08,T,55,11.65,D,modis,Central Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-3.25793,113.83597,2026-09-08,T,68,10.15,D,modis,Central Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-3.25656,113.82659,2026-09-08,T,55,5.97,D,modis,Central Kalimantan,Rendah,Kalimantan,2026-09-08 00:56:00
-3.03101,112.35558,2026-09-08,T,82,29.42,D,modis,Central Kalimantan,Sedang,Kalimantan,2026-09-08 00:56:00
-3.02445,112.37928,2026-09-08,T,79,25.96,D,modis,Central Kalimantan,Sedang,Kalimantan,2026-09-08 00:56:00
-3.02279,112.36813,2026-09-08,T,91,53.2,D,modis,Central Kalimantan,Sedang,Kalimantan,2026-09-08 00:56:00
-3.1109,114.03048,2026-09-08,T,85,33.74,D,modis,Central Kalimantan,Sedang,Kalimantan,2026-09-08 00:56:00
-3.02113,112.35696,2026-09-08,T,89,46.62,D,modis,Central Kalimantan,Sedang,Kalimantan,2026-09-08 00:56:00
