latitude,longitude,acq_date,satellite,confidence,frp,daynight,sensor,provinsi,frp_band,acq_datetime
2.62449,117.44987,2026-08-19,T,63,7.03,D,modis,North Kalimantan,Rendah,2026-08-19 01:00:00
2.535,117.43105,2026-08-19,T,74,12.49,D,modis,East Kalimantan,Rendah,2026-08-19 01:00:00
2.53637,117.42159,2026-08-19,T,75,13.56,D,modis,East Kalimantan,Rendah,2026-08-19 01:00:00
-2.47766,112.94656,2026-08-19,T,64,6.12,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.47902,112.95611,2026-08-19,T,88,35.55,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
-2.48037,112.96564,2026-08-19,T,68,8.0,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.47746,112.8912,2026-08-19,T,77,14.25,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.49726,112.89822,2026-08-19,T,86,28.36,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
-2.50004,112.91734,2026-08-19,T,78,14.8,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.50143,112.9269,2026-08-19,T,76,12.58,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.55329,113.28416,2026-08-19,T,57,16.5,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.50645,112.89693,2026-08-19,T,85,26.26,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
-2.5888,112.95731,2026-08-19,T,42,18.51,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.89209,115.06235,2026-08-19,T,60,4.78,D,modis,South Kalimantan,Rendah,2026-08-19 01:02:00
-2.92604,115.23775,2026-08-19,T,49,7.16,D,modis,South Kalimantan,Rendah,2026-08-19 01:02:00
-2.46949,112.88914,2026-08-19,T,68,9.97,D,modis,Central Kalimantan,Rendah,2026-08-19 01:02:00
-2.06465,110.19321,2026-08-19,T,38,13.85,D,modis,West Kalimantan,Rendah,2026-08-19 01:02:00
-2.04043,110.18202,2026-08-19,T,52,17.07,D,modis,West Kalimantan,Rendah,2026-08-19 01:02:00
-2.94376,115.23532,2026-08-19,T,48,7.03,D,modis,South Kalimantan,Rendah,2026-08-19 01:02:00
-2.47927,113.2821,2026-08-19,T,87,116.21,D,modis,Central Kalimantan,Tinggi,2026-08-19 01:02:00
-2.47793,113.27283,2026-08-19,T,100,89.78,D,modis,Central Kalimantan,Sedang,2026-08-19 01:02:00
