acq_datetime;acq_date;latitude;longitude;frp;frp_band;provinsi;provinsi_id;sensor;satellite;confidence;daynight
2026-08-19 01:00:00;2026-08-19;2,6245;117,4499;7,03;Rendah;North Kalimantan;Kalimantan Utara;modis;T;63;D
2026-08-19 01:00:00;2026-08-19;2,535;117,431;12,49;Rendah;East Kalimantan;Kalimantan Timur;modis;T;74;D
2026-08-19 01:00:00;2026-08-19;2,5364;117,4216;13,56;Rendah;East Kalimantan;Kalimantan Timur;modis;T;75;D
2026-08-19 01:02:00;2026-08-19;1,9472;117,287;7,34;Rendah;East Kalimantan;Kalimantan Timur;modis;T;71;D
2026-08-19 01:02:00;2026-08-19;1,9617;117,2506;6,04;Rendah;East Kalimantan;Kalimantan Timur;modis;T;67;D
2026-08-19 01:02:00;2026-08-19;1,9671;117,213;5,9;Rendah;East Kalimantan;Kalimantan Timur;modis;T;65;D
2026-08-19 01:02:00;2026-08-19;2,1531;117,1371;11,49;Rendah;East Kalimantan;Kalimantan Timur;modis;T;74;D
2026-08-19 01:02:00;2026-08-19;2,2215;116,9831;9,08;Rendah;East Kalimantan;Kalimantan Timur;modis;T;71;D
2026-08-19 01:02:00;2026-08-19;2,2442;117,8572;6,55;Rendah;East Kalimantan;Kalimantan Timur;modis;T;59;D
2026-08-19 01:02:00;2026-08-19;2,2762;117,8777;25,6;Sedang;East Kalimantan;Kalimantan Timur;modis;T;84;D
2026-08-19 01:02:00;2026-08-19;0,7438;112,0234;9,51;Rendah;West Kalimantan;Kalimantan Barat;modis;T;57;D
2026-08-19 01:02:00;2026-08-19;2,2777;117,8677;7,25;Rendah;East Kalimantan;Kalimantan Timur;modis;T;67;D
2026-08-19 01:02:00;2026-08-19;2,2783;117,929;5,94;Rendah;East Kalimantan;Kalimantan Timur;modis;T;34;D
2026-08-19 01:02:00;2026-08-19;2,3959;117,9519;29,27;Sedang;East Kalimantan;Kalimantan Timur;modis;T;85;D
2026-08-19 01:02:00;2026-08-19;-1,7398;110,1696;126,7;Tinggi;West Kalimantan;Kalimantan Barat;modis;T;91;D
2026-08-19 01:02:00;2026-08-19;-0,146;115,7318;7,83;Rendah;East Kalimantan;Kalimantan Timur;modis;T;69;D
2026-08-19 01:02:00;2026-08-19;2,2456;117,8472;7,18;Rendah;East Kalimantan;Kalimantan Timur;modis;T;61;D
2026-08-19 01:02:00;2026-08-19;-0,1447;115,723;17,54;Rendah;East Kalimantan;Kalimantan Timur;modis;T;81;D
2026-08-19 01:02:00;2026-08-19;-0,4338;116,3926;21,75;Sedang;East Kalimantan;Kalimantan Timur;modis;T;84;D
2026-08-19 01:02:00;2026-08-19;-0,9081;110,4674;17,5;Rendah;West Kalimantan;Kalimantan Barat;modis;T;53;D
2026-08-19 01:02:00;2026-08-19;-0,4415;116,3822;18,58;Rendah;East Kalimantan;Kalimantan Timur;modis;T;55;D
2026-08-19 01:02:00;2026-08-19;-0,4428;116,3914;20,54;Sedang;East Kalimantan;Kalimantan Timur;modis;T;84;D
2026-08-19 01:02:00;2026-08-19;-0,4873;112,187;5,74;Rendah;West Kalimantan;Kalimantan Barat;modis;T;56;D
2026-08-19 01:02:00;2026-08-19;-0,4849;112,0289;13,98;Rendah;West Kalimantan;Kalimantan Barat;modis;T;73;D
2026-08-19 01:02:00;2026-08-19;-0,4865;112,0402;24,53;Sedang;West Kalimantan;Kalimantan Barat;modis;T;81;D
2026-08-19 01:02:00;2026-08-19;-1,2156;114,9494;9,51;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;73;D
2026-08-19 01:02:00;2026-08-19;-1,3268;114,2493;14,34;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;77;D
2026-08-19 01:02:00;2026-08-19;-1,3281;114,2581;89,84;Sedang;Central Kalimantan;Kalimantan Tengah;modis;T;100;D
2026-08-19 01:02:00;2026-08-19;-1,3294;114,267;12,91;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;75;D
2026-08-19 01:02:00;2026-08-19;-1,3204;114,1413;16,86;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;72;D
2026-08-19 01:02:00;2026-08-19;-1,3737;114,3241;4,45;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;43;D
2026-08-19 01:02:00;2026-08-19;-1,3749;114,2698;5,19;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;49;D
2026-08-19 01:02:00;2026-08-19;-1,3872;114,2796;4,2;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;48;D
2026-08-19 01:02:00;2026-08-19;2,1192;117,1799;7,09;Rendah;East Kalimantan;Kalimantan Timur;modis;T;67;D
2026-08-19 01:02:00;2026-08-19;-1,6068;114,7902;4,32;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;35;D
2026-08-19 01:02:00;2026-08-19;-2,1841;113,7948;6,85;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;55;D
2026-08-19 01:02:00;2026-08-19;-2,2606;114,3279;23,22;Sedang;Central Kalimantan;Kalimantan Tengah;modis;T;61;D
2026-08-19 01:02:00;2026-08-19;-2,0859;113,4339;9,63;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;71;D
2026-08-19 01:02:00;2026-08-19;-2,2518;114,3291;17,73;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;65;D
2026-08-19 01:02:00;2026-08-19;-2,1816;113,841;6,43;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;64;D
2026-08-19 01:02:00;2026-08-19;-2,1778;113,814;6,53;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;59;D
2026-08-19 01:02:00;2026-08-19;-2,243;114,3304;34,26;Sedang;Central Kalimantan;Kalimantan Tengah;modis;T;89;D
2026-08-19 01:02:00;2026-08-19;-2,1455;113,852;15,39;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;65;D
2026-08-19 01:02:00;2026-08-19;-1,8901;115,8646;21,28;Sedang;East Kalimantan;Kalimantan Timur;modis;T;84;D
2026-08-19 01:02:00;2026-08-19;-2,0916;114,2469;25,55;Sedang;Central Kalimantan;Kalimantan Tengah;modis;T;85;D
2026-08-19 01:02:00;2026-08-19;-2,0827;114,2481;20,97;Sedang;Central Kalimantan;Kalimantan Tengah;modis;T;83;D
2026-08-19 01:02:00;2026-08-19;-1,899;115,8634;14,89;Rendah;East Kalimantan;Kalimantan Timur;modis;T;79;D
2026-08-19 01:02:00;2026-08-19;-1,676;115,0063;24,37;Sedang;Central Kalimantan;Kalimantan Tengah;modis;T;85;D
2026-08-19 01:02:00;2026-08-19;-1,7098;115,1804;6;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;64;D
2026-08-19 01:02:00;2026-08-19;-1,7085;115,1716;4,62;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;59;D
2026-08-19 01:02:00;2026-08-19;-1,6747;114,9975;12,42;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;75;D
2026-08-19 01:02:00;2026-08-19;-1,3885;114,2885;4,04;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;47;D
2026-08-19 01:02:00;2026-08-19;-2,376;115,1978;6,91;Rendah;South Kalimantan;Kalimantan Selatan;modis;T;66;D
2026-08-19 01:02:00;2026-08-19;-1,6469;110,085;11,32;Rendah;West Kalimantan;Kalimantan Barat;modis;T;33;D
2026-08-19 01:02:00;2026-08-19;-2,23;113,7977;67,24;Sedang;Central Kalimantan;Kalimantan Tengah;modis;T;97;D
2026-08-19 01:02:00;2026-08-19;-2,2405;113,7989;49,7;Sedang;Central Kalimantan;Kalimantan Tengah;modis;T;94;D
2026-08-19 01:02:00;2026-08-19;-1,598;114,7914;8,78;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;69;D
2026-08-19 01:02:00;2026-08-19;-2,2392;113,7899;11,04;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;35;D
2026-08-19 01:02:00;2026-08-19;-2,2593;114,0033;5,72;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;51;D
2026-08-19 01:02:00;2026-08-19;-2,2581;113,9944;5,47;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;53;D
2026-08-19 01:02:00;2026-08-19;-2,2403;113,8694;6,34;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;39;D
2026-08-19 01:02:00;2026-08-19;-2,2224;113,8079;15,34;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;37;D
2026-08-19 01:02:00;2026-08-19;-2,1828;113,7859;19,23;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;81;D
2026-08-19 01:02:00;2026-08-19;-2,2186;113,845;19,12;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;79;D
2026-08-19 01:02:00;2026-08-19;-1,7097;110,2836;19,21;Rendah;West Kalimantan;Kalimantan Barat;modis;T;69;D
2026-08-19 01:02:00;2026-08-19;-1,7007;110,2993;15,52;Rendah;West Kalimantan;Kalimantan Barat;modis;T;36;D
2026-08-19 01:02:00;2026-08-19;-2,2695;114,3267;9,72;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;44;D
2026-08-19 01:02:00;2026-08-19;-2,2313;113,8066;21,88;Sedang;Central Kalimantan;Kalimantan Tengah;modis;T;47;D
2026-08-19 01:02:00;2026-08-19;-2,2816;114,021;6,78;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;49;D
2026-08-19 01:02:00;2026-08-19;-1,5967;114,7827;4,2;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;50;D
2026-08-19 01:02:00;2026-08-19;-2,3463;114,0935;7,39;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;26;D
2026-08-19 01:02:00;2026-08-19;-2,4883;113,2809;37,86;Sedang;Central Kalimantan;Kalimantan Tengah;modis;T;78;D
2026-08-19 01:02:00;2026-08-19;-2,5364;115,0286;14,16;Rendah;South Kalimantan;Kalimantan Selatan;modis;T;77;D
2026-08-19 01:02:00;2026-08-19;-2,5657;114,5891;4,87;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;62;D
2026-08-19 01:02:00;2026-08-19;-1,9887;110,536;6,59;Rendah;West Kalimantan;Kalimantan Barat;modis;T;47;D
2026-08-19 01:02:00;2026-08-19;-2,7581;115,4818;7,22;Rendah;South Kalimantan;Kalimantan Selatan;modis;T;64;D
2026-08-19 01:02:00;2026-08-19;-2,0533;110,4235;13,93;Rendah;West Kalimantan;Kalimantan Barat;modis;T;66;D
2026-08-19 01:02:00;2026-08-19;-2,4212;112,9447;6,68;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;52;D
2026-08-19 01:02:00;2026-08-19;-2,4226;112,9542;12,37;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;74;D
2026-08-19 01:02:00;2026-08-19;-2,4689;113,2741;39,17;Sedang;Central Kalimantan;Kalimantan Tengah;modis;T;90;D
2026-08-19 01:02:00;2026-08-19;-2,4702;113,2834;57,11;Sedang;Central Kalimantan;Kalimantan Tengah;modis;T;89;D
2026-08-19 01:02:00;2026-08-19;-2,4716;113,2926;11,98;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;57;D
2026-08-19 01:02:00;2026-08-19;-2,4304;112,9434;11,02;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;73;D
2026-08-19 01:02:00;2026-08-19;-2,4779;113,2728;89,78;Sedang;Central Kalimantan;Kalimantan Tengah;modis;T;100;D
2026-08-19 01:02:00;2026-08-19;-2,9438;115,2353;7,03;Rendah;South Kalimantan;Kalimantan Selatan;modis;T;48;D
2026-08-19 01:02:00;2026-08-19;-2,7014;113,3516;7,91;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;65;D
2026-08-19 01:02:00;2026-08-19;-2,0404;110,182;17,07;Rendah;West Kalimantan;Kalimantan Barat;modis;T;52;D
2026-08-19 01:02:00;2026-08-19;-2,4695;112,8891;9,97;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;68;D
2026-08-19 01:02:00;2026-08-19;-2,926;115,2378;7,16;Rendah;South Kalimantan;Kalimantan Selatan;modis;T;49;D
2026-08-19 01:02:00;2026-08-19;-2,8921;115,0623;4,78;Rendah;South Kalimantan;Kalimantan Selatan;modis;T;60;D
2026-08-19 01:02:00;2026-08-19;-2,5888;112,9573;18,51;Rendah;Central Kalimantan;Kalimantan Tengah;modis;T;42;D
