provinsi_id,acq_date,jumlah_hotspot
Kalimantan Barat,2026-09-04,927
Kalimantan Barat,2026-09-05,1338
Kalimantan Barat,2026-09-06,1117
Kalimantan Barat,2026-09-07,410
Kalimantan Barat,2026-09-08,688
Kalimantan Barat,2026-09-09,826
Kalimantan Barat,2026-09-10,934
Kalimantan Barat,2026-09-11,1910
Kalimantan Selatan,2026-09-04,231
Kalimantan Selatan,2026-09-05,370
Kalimantan Selatan,2026-09-06,347
Kalimantan Selatan,2026-09-07,66
Kalimantan Selatan,2026-09-08,142
Kalimantan Selatan,2026-09-09,85
Kalimantan Selatan,2026-09-10,141
Kalimantan Selatan,2026-09-11,808
Kalimantan Tengah,2026-09-04,2348
Kalimantan Tengah,2026-09-05,2858
Kalimantan Tengah,2026-09-06,2252
Kalimantan Tengah,2026-09-07,531
Kalimantan Tengah,2026-09-08,1892
Kalimantan Tengah,2026-09-09,1342
Kalimantan Tengah,2026-09-10,1294
Kalimantan Tengah,2026-09-11,5833
Kalimantan Timur,2026-09-04,401
Kalimantan Timur,2026-09-05,473
Kalimantan Timur,2026-09-06,401
Kalimantan Timur,2026-09-07,346
Kalimantan Timur,2026-09-08,422
Kalimantan Timur,2026-09-09,169
Kalimantan Timur,2026-09-10,339
Kalimantan Timur,2026-09-11,363
Kalimantan Utara,2026-09-04,29
Kalimantan Utara,2026-09-05,43
Kalimantan Utara,2026-09-06,43
Kalimantan Utara,2026-09-07,104
Kalimantan Utara,2026-09-08,36
Kalimantan Utara,2026-09-09,5
Kalimantan Utara,2026-09-10,23
